组织名称,大连幸福安康医药有限公司
统一社会信用代码,91210212MA0U22J36E
行政处罚决定文书号,旅市监处罚【2022】61号
法人代表人,姜义明
违法行为类型,"大连幸福安康医药有限公司以上行为违反了《中华人民共和国药品管理法》第五十五条“药品上市许可持有人、药品生产企业、药品经营企业和医疗机构应当从药品上市许可持有人或者具有药品生产、经营资格的企业购进药品：但是，购进未实施审批管理的中药材除外。""。的规定。"
违法事实,经查，大连幸福安康医药有限公司从个人业务员手中购进吲达帕胺片共进1盒（批号：20220402，生产日期：2022年4月15日，有效期至：2024年4月14日，未销售：购进价格8元/盒，销售价格12元/盒），银否叶片共进1盒（批号：A2112003，生产日期：2021年12月31日，有效期至：2024年11月，未销售，购进价格12元/盒，销售价格15元/盒）：复方丹参滴丸共进2盒（其中一盒批号为：211009，生产日期：2021年10月2日，有效期至：2025年9月：共进1盒，未销售，购进价格22元/盒，销售价格26元/盒：另一盒批号为：211220，生产日期：2021年12月8日，有效期至：2025年11月，共进1盒，未销售，购进价格22元/盒，销售价格26元/盒），苯磺酸氢氯地平片共进1盒（批号：20210304，生产日期：2021年3月3日，有效期至：2023年2月，购进价格3元/盒，销售价格5元/盒），酒石酸美托洛尔片共进5盒（其中一盒批号为：2205007：生产日期：2022年5月，有效期至：2025年4月，共未销售，购进价格10元/盒，销售价格12元/盒：另外四盒批号为：220545，生产日期：2022年5月31日，有效期至：2024年4月，销售3盒，剩余1盒，购进价格4元/盒，销售价格7元/盒），硝苯地平缓释片共进1盒（批号：2110211，生产日期：2021年11月28日，有效期至：2023年10月，未销售，购进价格11元/盒，销售价格13元/盒），阿司匹林肠溶片共进1盒（批号：22041701，生产日期：2021年3月3日，有效期至：2023年2月，未销售，购进价格8元/盒，销售价格10元/盒），替米沙坦片共进1盒（批号：1T210903，生产日期：2021年9月4日，有效期至：2023年8月，共进1盒，购进价格9元/盒，销售价格11元/盒），现场未见随货同行单。以上药品货值金额共计158元，违法所得21元。当事人的上述行为，构成从非法渠道购进药品的违法行为。
处罚依据,依据《中华人民共和国药品管理法》第一百二十九条：“违反本法规定，药品上市许可持有人、药品生产企业、药品经营企业或者医疗机构未从药品上市许可持有人或者具有药品生产、经营资格的企业购进药品的，责令故正，没收违法购进的约品和违法所得，并处违法购进约品货值金额二倍以上十倍以下的罚款：情节严重的.….药品经营许可证或者医疗机构执业许可证：货值金额不足五万元的，按五万元计算。“的规定。
处罚类别,"没收违法所得、没收非法财物,罚款"
处罚内容,1、没收吲达帕胺片1盒，银香叶片1盒，复方丹参滴丸2盒，苯磺酸氯氯地平片1盒，酒石酸美托洛尔片2盒，硝苯地平缓释片1盒，阿司匹林肠溶片1盒，替米沙坦片1盒。2、没收违法所得21元。罚款人民币10000元，罚没款合计人民币10021元上缴国库。
罚款金额（万元）,10.0021
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,心
处罚决定日期,2022-11-02
处罚有效期,2023-11-02
公示截止期,2025-11-02
处罚机关,大连市旅顺口区市场监督管理局
