组织名称,大连市旅顺口区经济开发区龙港路诊所
统一社会信用代码,91210212MA0U7LR52L
行政处罚决定文书号,(旅市监处罚【2023】2号
法人代表人,梁国峰
违法行为类型,"当事人从非法渠道购进药品的行为,违反了《中华人民共和国药品管理法》第五十五条“药品上市许可持有人、药品生产企业、药品经营企业和医疗机构应当从药品上市许可持有人或者具有药品生产、经营资格的企业购进药品：但是，购进未实施审批管理的中药材除外。“的规定。"
违法事实,口区经济开发区龙港路诊所进行检查。通过投诉人提供的证据显示，投诉人于20片（拜新同）。经查，大连市旅顺口区经济开发区龙港路诊所2022年11月16日销售10盒硝苯地平控释片（拜新同）。其中5盒硝苯地平控释片（拜新同），批号济开发区龙港路诊所于2022年8月4日从辽宁省医药对外贸易有限公司购进：购进价格24.47元/盒，销售价格25元/盒。另外5盒硝苯地平控释片（拜新同），批号：BJ66280，生产日期：20220117，有效期至：20250116，是大连市旅顺口区经济开发区龙港路诊所从大连康宇诊所有限公司购进予以销售。该5盒硝苯地平控释片（拜新同）系大连康宇诊所有限公司于2022年8月4日从辽宁省医药对外贸易有限公司购进，购进价格24.47元/盒。该5盒硝苯地平控释片（拜新同）在大连市旅顺口区经济开发区龙港路诊所销售价格为25元/盒。当事人于2022年11月16日将大连康宇诊所有限公司的5盒硝苯地平控释片（拜新同），同自行购买的5盒硝苯地平控释片（拜新同）一同销售给投诉人。两家单位为不同性质的主体，大连康宇诊所有限公司的经营许可项自是中西医结合科，不具有药品批发资格。当事人的上述行为，构成从非法渠道购进药品的违法行为。以上涉案药品货值金额共计125元，违法所得125元
处罚依据,依据《中华人民共和国药品管理法》第一百二十九条：“违反本法规定，药品上市许可持有人、药品生产企业、药品经营企业或者医疗机构未从药品上市许可持有人或者具有药品生产、经营资格的企业购进药品的，责令改正，没收违法购进的药品和违法所得，并处违法购进药品货值金额二倍以上十倍以下的罚款：情节严重的..….药品经营许可证或者医疗机构执业许可证；货值金额不足五万元的，按五方元计算。“的定。
处罚类别,"没收违法所得,罚款"
处罚内容,1、没收违法所得人民币125元。2、罚款人民币10000元，罚没款合计人民币10125元上缴国库。
罚款金额（万元）,10.0125
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-15
处罚有效期,2024-03-15
公示截止期,2026-03-15
处罚机关,大连市旅顺口区市场监督管理局
