组织名称,辽宁北华联综合超市有限公司大连庄河分公司
统一社会信用代码,91210283MA10EQTW2G
行政处罚决定文书号,庄市监计处罚【2022】1号
法人代表人,王向文
违法行为类型,违反了《中华人民共和国计量法》第二十五条“属于强制检定范围的计量器具未按照规定申请检定或者检定不合格继续使用的，责令停止使用，可以并处罚款。“的规定。
违法事实,2022年9月9日，庄河市市场监管管理局执法人员到辽宁北华联综合超市有限公司大连庄河分公司进行中秋节前检查，经查，发现型号为ACS-（RLOO），出厂编号为B251648608的条形码打印电子计价秤无检定合格印、证，未经过强制检定而在便用，现场要求立即停止便用，经检定合格后方可便用。2022年9月13日，压河市市场监督管理局标准计量中队再次到辽宁北华联综合超市有限公司大连庄河分公司进行检查。经查，该电子计价秤仍在使用中，并且未经检定，无检定合格印、证，
处罚依据,"依据（宁省市场监管管理行政处罚裁量权适用规厕》第十七条“除第十三条至第十六条所列不予处罚、减轻处罚、从轻处罚、从重处罚以外的其他应予行政处罚的情形为一般处罚情形，给予一般处罚。“的规定，建设对当事人给予一般处罚。依据计量违法行为处罚细则》第十二条第二项“（二属于强制检定的工作计量器具，未按照规定申请检定或超过检定周期而继迷续使用的，责令其停止便用，可并处五百元以下罚款；经检定不合格而继续使用的，责令其停止便用，可并处一千元以下罚款。“的规定。"""
处罚类别,罚款
处罚内容,1.责令改正违法行为；2.罚款300元。1
罚款金额（万元）,0.03--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-08
处罚有效期,2027-11-08
公示截止期,2023-11-08
处罚机关,庄河市市场监管理局
