组织名称,大连惠英机械有限公司
统一社会信用代码,91210281787323662G
行政处罚决定文书号,(瓦)应急罚【2022】1035号
法人代表人,谢德惠
违法行为类型,违反《中华人民共和国安全生产法》第三十条第一款、第二十八条第四款、第二十六条第二款、第三十五条、第四十五条。
违法事实,2022年11月4日，瓦房店市应急管理局执法人员对大连惠英机械有限公司进行执法检查时，发现该单位有如下行为：（工特红作业人员未取得相应资格，上区作业。（21该企业未如实记录安全生产教育和培训情况。（3氧气瓶压力表未定期检测。（4）配电柜、配电箱未设置安全警示标志。（5）从业人员未接按照规定佩戴劳动防护用品。于2022年11月8日立案调查。
处罚依据,《中华人民共和国安全生产法》第九十七祭第七项、第四项、第九十九条第三项、第一项、第五项。
处罚类别,罚款
处罚内容,"给予处人民币伍万元（￥50,000.00）罚款的行政处罚"
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-29
处罚有效期,2024-11-29
公示截止期,2023-11-29
处罚机关,瓦房店市应急管理局
