组织名称,大连麦乐嘟文化传媒有限公司
统一社会信用代码,91210213MA0XWAQ12Q
行政处罚决定文书号,金普新区]文综罚字[2023】F-000011号
法人代表人,梁仕满
违法行为类型,违反了《娱乐场所管理条例》第二十条的规定
违法事实,在规定的禁止营业时间内营业的行为
处罚依据,依据《娱乐场所管理条例》第四十九条“娱乐场所违反本条例规定，有下列情形之一的，由县级人民政府文化主管部阳门责令改正，给予警告情节严重的，责令停业整顿1个月至3个月：（一在本条例规定的禁止营业时间内营业的；的相关韧定，依据大连市文化旅游局2019年12月下发的（大连市文化旅游行政处罚裁量权控制力法》（大文旅发【2019】176号】附件“大连市文化旅游行政处罚裁量基准“第五十条“在禁止营业时间内营业的行为二、处罚种类与幅度《娱乐场所管理条例》第四十九条第（二项三、裁量适用情形（一一般情节的，责令改正，给予警告：“的基准；
处罚类别,警告
处罚内容,责令改正，给予警告。
罚款金额（万元）,----
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-03-22
处罚有效期,2024-03-22
公示截止期,2024-03-22
处罚机关,大连金普新区文化和旅游局
