组织名称,长城物业集团股份有限公司大连分公司
统一社会信用代码,91210204777297552F
行政处罚决定文书号,沙应急罚[2023】001号
法人代表人,郭占生
违法行为类型,违反了《中华人民共和国安全生产法》第三十五条“生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志。“的规定
违法事实,长城物业集团股份有限公司大连分公司星海国宝项自1、消防泵房消防水箱处未粘贴有限空间安全警示标识：2、地下车库污水井未粘贴有限空间安全警示标识：3、地上一层所有污水井未粘贴有限空间安全警示标识。存在生产经营单位未在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志的违法行为。
处罚依据,依据《中华人民共和国安全生产法》第九十九第一项生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款：逾期未改正的，处五万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处一万元以上二方元以下的罚款：情节严重的，责令停产停业整顿：构成犯罪的，依照刑法有关规定追究刑事责任：（一未在有较大危险因素的生产经营场所和有关设施设备上设置明显的安全警示标志的；.“和《安全生产行政处罚自由裁量适用规则（试行）》第十四条第二项“当事人有下列情形之一的，应当从轻处罚：…（二）主动消除或者减轻安全生产违法行为危害后果的；………”的规定
处罚类别,罚款
处罚内容,决定给予长城物业集团股份有限公司大连分公司罚款人民币贰仟元整（￥2，00.00）的行政处罚
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-24
处罚有效期,2024-02-24
公示截止期,2024-02-24
处罚机关,大连市沙河口区应急管理局
