组织名称,大连株硬数控力具有限公司
统一社会信用代码,91210204576071709N
行政处罚决定文书号,2023013001
法人代表人,吕淑梅
违法行为类型,《放射性同位素与射装置安全和防护条例》第十五条：“禁止无许可证或者不按照许可证规定的种类和范围从事放射性同位素和射线装置的生产、销售使用活动。”
违法事实,经调查，该单位从赢洲科技（上海）有限公司购买一台便携式义射线荧光分析仪，该设备自用，无违法所得，该设备未力理辐射安全许可证。监察人员制作了《大连市生态环境局现场检查（勘察）笔录》、《大连市生态环境局询问笔录》要求该单位相关人员到分局接受调查处理。
处罚依据,"《放射性同位素与射线装置安全和防护条例》第五十二条第一项：“违反本条例规定，生产、销售、使用放射性同位素和射线装置的单位有下列行为之一的，由县级以上人民政府环境保护主管部阳门责令停止违法行为，限期改正：逾期不改正的，责令停产停业或者由原发证机关吊销许可证：有违法所得的，没收违法所得：违法所得10万元以上的，并处违法所得「倍以上5倍以下的罚款：没有违法所得或者违法所得不足10万元的，并处1万元以上0万元以下的罚款：（一无许可证从事放射性同位素和射线装置生产、销售、使用活动的；"""
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000.00)
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-27
处罚有效期,2099-12-31
公示截止期,2024-02-27
处罚机关,大连市生态环境局（大连市沙河口生态环境分局）
