组织名称,大连洪大快捷主题宾馆
统一社会信用代码,91210213MA0ULWND9E
行政处罚决定文书号,金普新区]文综罚字[2023】F-000007号
法人代表人,程锋
违法行为类型,违反了《互联网上网服务营业场所管理条例》第二十条第一款：“互联网上网服务营业场所经营单位不得接纳未成年人进入营业场所。“的规定
违法事实,接纳未成年人进入营业场所
处罚依据,依据《互联网上网服务营业场所管理条例》第三十条第二款第二项：，依据文化和旅游部文化市场综合执法重大案件管理力法》第三条第二款第三项：“违法向未成年人提供产品或者服务，或者向未成年人提供违法产品或者服务，严重损害未成年人身心健康造成恶劣社会影响的：“的规定，该案属于重大案件，按照大连市文化和旅游局大连市文化旅游行政裁量权控制力法》（大文旅发【2℃191176号“一次接纳3名（含3名）以上未成年人以及接纳未成年人引发重大恶性案件的，吊销《网络文化经营许可证》“的规定，
处罚类别,吊销许可证件
处罚内容,给予大连洪大快捷主题宾馆吊销《网络文化经营许可证》的行政处罚。
罚款金额（万元）,--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-09
处罚有效期,2024-03-09
公示截止期,2024-03-09
处罚机关,大连金普新区文化和旅游局
