组织名称,大连金普新区十方中医诊所（有限合伙）
统一社会信用代码,91210213MA0YN7D99N
行政处罚决定文书号,大金普市监综执罚【2022】214号
法人代表人,钱云霞
违法行为类型,使用劣药的违法行为违反了《药品管理法》第九十八条第一款：第三款第（七）项的规定
违法事实,2022年10月24日：我局接到大连市市场监管局《案件交办函》（收文编号：大市监药稽函2022138号】，该案件为大连市市场监管局转交的大连金普新区于方中医诊所涉销售劣药“制远志”（安国市祁澳中药饮片有限公司生产，批号2104468171），该批药品经大连市药品检验检测院检验，黄曲霉毒素测定项不符台规定，定性为势约，其销售流向涉及大连金普新区十方中医诊所。
处罚依据,依据《药品管理法实施条例》第七十五条，给予以下行政处罚：没收违法所得玖伯伍拾元（950.00元，免于其他行政处罚。
处罚类别,没收违法所得
处罚内容,使用劣药
罚款金额（万元）,0.0954
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-22
处罚有效期,2099-12-31
公示截止期,2023-11-22
处罚机关,大连金普新区市场监督管理局
