组织名称,大连龙盛美格装饰设计工程有限公司
统一社会信用代码,91210203687092801F
行政处罚决定文书号,大税二稽罚【2022】号
法人代表人,宋桂香
违法行为类型,发票违法
违法事实,"编号621029******912684），大连振达康建材有限公司虚开给你单位增值税普通发票6份，发票代码2102172320、发票号码05020956-05020961，价税合计600000.00元，发票品目为木方、细木工板、龙骨、地胶、地板等。据你单位财务负责人徐龙陈述，你单位2017年施工""亿达装修改造""工程项目，向大连振达康建材有限公司所购买的工程材料，材料由卖方负责直接送到工程施工地点，全部用于2017年施工的工程项目中。当时签订了购销合同，现在已遗失。2017年年底以现金方式给大连振达康建材有限公司支付货款60万元，在全部款项支付完毕后2018年4月从大连振达康建材有限公司取得6份增值税普通发票，发票代码2102172320、发票号码05020956-05020961，价税合计600,000.00元。经查你单位在18年冲抵已通过暂估成本在2017年结转的主营业务成本2,478,884.00元，其中包括从大连振达康建材有限公司取得6份增值税普通发票的600,000.00元。你单位未能提供2017年的账薄、记账凭证和其他涉税资料。同时在2018年冲抵的2017年暂估成本的记账凭证及后附的发票缺失，导致2017年实际成本资料不全，难以核实。你单位人员陈述，你单位在2018年5月发现丢失2017年的账簿、记账凭证和有关资料，因此未能在规定时限内提供2017年账簿、记账凭证和有关资料。检查人员于2021年10月28日下达《责令限期改正通知书》（大税二稽限改【2021】11号），企业在限期内并未改正。你单位2017年的账簿和记账凭证以前未被检查过。上述事实，有以下证据证实1.《大连龙盛美格装饰设计工程有限公司税务登记信息》复制件：2.《已证实虚开通知单》：3.《委托协查凭证清单》：4.《委托协查凭证货物清单》：5.《2018年4月1号记账凭证》复制件，附原始凭证6份《大连市增值税普通发票》（发票联，发票代码2102172320，发票号码05020956-05020961）：6.《2018年主营业务成本明细账》复制件;7.《2018年原材料明细账》复制件：8.《2018年应付账款-暂估明细账》复制件：9.《2018年应付账款-大连振达康建材有限公司明细账》复制件:10.《情况说明》11．《大连龙盛美格装饰设计工程有限公司关于账薄丢失的情况说明》：12.《申请》；13.《2017年企业所得税年度纳税申报表》复制件：14.《同年度、同行业、同规模税负计算表》复制件；5.《询问（调查）笔录第1次（徐龙）》，附被询问人徐龙居民身份证复制件。"
处罚依据,"国税收征收管理法》第二十四条""从事生产、经营的纳税人、扣缴义务人必须按照国务院财政、税务主管部门规定的保管期限保管账簿、记账凭证、完税凭证及其他有关资料""的规定，属于违法行为。根据《中华人民共和国税收征收管理法》第六十条第一款第（二）项“纳税人有下列行为之一的，由税务机关责令限期改正，可以处两千元以下的罚款；情节严重的，处两千元以上一万元以下的罚款：（二）未按规定设置、保管账薄或者保管记账凭证和有关资料的""的规定，应当予以处罚。你单位在2018年5月发现2017年账证资料丢失，对你单位未按照规定保管账簿、记账凭证和有关资料的行为处以罚款，根据《中华人民共和国税收征收管理法》第六十条第一款第（二）项和《国家税务总局大连市税务局关告2018年第14号）第十条第（三）项未按规定保管税务机关未检查过的账簿记账凭证和有关资料，在限期内改正的，处一千元以上二千元以下的罚款；在限期内未改正或者有其他严重情节的，处二千元以上一万元以下的罚款。“的规定，"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-03
处罚有效期,2022-11-18
公示截止期,2023-11-03
处罚机关,国家税务总局大连市税务局第二稽查局
