组织名称,大连丰顺压力元件有限公司
统一社会信用代码,912102127515731096
行政处罚决定文书号,2022020008
法人代表人,隋赐龙
违法行为类型,"《中华人民共和国噪声污梁防治法》第二十二条第一款""排放噪声、产生振动，立当符噪声排放标以及相关的环境振动控制标准和有关法律、法规、规章的要求。"""
违法事实,经热法人员韩红卫、刘庆源、胡玲调查发现，于大连市旅顺口区鸿运街2号的大连丰顺压力元件牛有限公可正常生产，便用空气锤进行锻造加工。现场由中科环境检测（大连）有限公司对车间空气锤噪声进行监测，根据中科环境检测（大连】有限公司出具的监测报告中科环检（20221第0630号，经监测该企业厂界东的噪声监测值为61dB，超过（工业企业厂界环境噪声排放标准》（GB12348一2008规定的55dB（外声环境功能区类别为1类标准，超标6dB。
处罚依据,《中华人民共和国噪声污染防治法》第七十五条“违反本法规定，无排污许可证或者超过噪声排放标准排防放工业噪声的，由生态环境主管部队门责令改正或者限制生产、停产整治，并处二方元以上二十元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业、关团。”
处罚类别,罚款
处罚内容,罚款人民币贰万元整￥20000)#
罚款金额（万元）,2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-23
处罚有效期,2099-12-31
公示截止期,2023-11-23
处罚机关,大连市生态环境局
