组织名称,大连中正成业成行社有限公司
统一社会信用代码,91210203MA0QDLPX8A
行政处罚决定文书号,连]文综罚字[2022F-000054号
法人代表人,李礼
违法行为类型,违反《旅游法》第三十五条第一款
违法事实,经查，大连中正旅业旅行社有限公司通过火车站、商务中心、船务公司推销人员招徕游睿。2022年7月27日，上述推销人员招徕并收取游客团款后将游睿送至大连中正旅业旅行社有限公司，旅行社按照推销人员收取的价格分别与15名游睿签订旅游合同，但旅行社实际未收取团费，以“零团费”模式组织游睿参加旅顺日游。当日，旅行社组织旅游团队共参加3个购物场所，其中“翠瑜轩”（中山区翠瑜轩文化玉器店未在旅游合同约定行程中。旅行社隐購该购物场所且在双方未签订补充协设的情况下，安排导游人员诱便顾睿进“翠瑜轩”购实相关产品游在3个购物场所购物后，购物场所按照约定向旅行社支付两笔费用，一是按照进店游客人数向旅行社支付10元/人“人头费”（金店无人头费），二是按照游客购物消费金额依比例同旅行社支付“提成”。旅行社通过安排购物店获取厂人头费、回扣等不正当利益。
处罚依据,根据《旅游法》第九十八条
处罚类别,没收违法所得，罚款责令停产停业
处罚内容,责令停业整顿1个月：没收违法所得3066元：给予3万元罚款的行政处罚
罚款金额（万元）,E0.3066
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-18
处罚有效期,2099-12-31
公示截止期,2025-11-18
处罚机关,大连市文化和旅游局
