组织名称,大连恒源船业有限公司
统一社会信用代码,91210213677502248U
行政处罚决定文书号,2023070005
法人代表人,崔恩宁
违法行为类型,《中华人民共和国环境影响评价法》第二十二条第一款：建设项目的环境影响报告书、报告表，由建设单位按照国务院的规定报有审批权的生态环境主管部门审批。第二十五条：建设项自的环境影响评价文件未依法经审批门审查或者审查后未予批准的，建设单位不得开工建设。
违法事实,2022年12月9日，大连金普新区（金州）生态环境分局执法人员到位于大连市金限公司院内有工作人员现场进行渔船拆解作业。根据《建设项目环境影响评价分类管理名录（2021年版】，拆船项自需要编制环境影响报告书，大连恒源船业有限公司拆船项自未依法报批健设项自环境影响评价文件，未取得生态环境门批准擅自开工建设并于2022年11月初投入生产。可以认定大连恒源船业有限公司存在以下违法行为：建设单位未依法报批建设项目环境影响报告书、报告表，擅自开工建设的。
处罚依据,《中华人民共和国环境影响评价法》第三十条第一款：建设单位未依法报批建设项目环境影响报告书、报告表，或者未依照本法第二十四条的规定重新报批或者报请重新电核环境影报告书、报告表，擅自升建设的，由县级以上生愁环境主管部门责令停止建设，根据违法情节和危害后果，处建设项目总投资额百分之一以上百分之五以下的罚款，并可以责令恢复原状；对建设单位直接负责的主管人员和其他直接责任人员，依法给予行政处分。《中华人民共和国环境保护法》第六十三条第一项：企业事业单位和其他生产经营者有下列行为之一，尚不构成犯罪的，除依照有关法律法规规定予以处罚外，由县级以上人民政府环境保护主管部门或者其他有关部队门将案件移送公安机关，对其直接负责的主管人员和其他直接责任人员，处十日以上十五日以下拘留：情节较轻的，处五日以上十日以下拘留：（一）建设项自未依法进行环境影响评价，被责令停止建设，拒不执行的;
处罚类别,罚款
处罚内容,罚款人民币染仟零陆拾贰元肆角（￥7062.4）
罚款金额（万元）,0.70624
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-28
处罚有效期,2099-12-31
公示截止期,2024-03-28
处罚机关,大连市生态环境局
