组织名称,大连和裕生物科技有限公司
统一社会信用代码,91210283MA1006486W
行政处罚决定文书号,大环责停字【2022】050004号
法人代表人,马连军
违法行为类型,地方规定的水污染物排放标准和重点水污染物排放总量控制指标。”br>《中华人民共和国水污染防治法》第三十九条：“禁止利用渗井、渗坑、裂隙、溶洞私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物。”
违法事实,2022年8月24日庄河生态环境分局执法人员检查发现，大连和裕生物科技有限公司有3处露天堆粪场，均无防雨防渗漏措施，有黑色渗滤液流出，分别汇入加工车间南侧一个水泥管道内，通过管道流入厂区西侧路边水沟，向北流入小沙河。大连正信检测有限公司在该公司加工车间南侧水泥管道西侧出水口处、河沟上下游采集水样和厂界无组织放废气样本送检。2022年8月27日大连正信检测有限公司出的《检测报告》（编号：20221153）显示，该公司加工车间南侧水泥管道西侧出水口排放的废水中污染物浓度为：总磷3.59mg/L、化学需氧量1.19×103mg/L、氢氮50.6mg/L和总氮63.3mg/L，分别超过《辽宁省污水综合排放标准（DB21/1627-2008）中规定的标准值6.18倍（标准值0.5mg/L）、22.8倍（标准值50mg/L）、5.325倍（标准值8mg/L）和3.22倍（标准值15mg/L）。
处罚依据,"《中华人民共和国水污染防治法》第八十三条第二项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令改正或者责令限制生产停产整治，并处十万元以上一百万元以下的罚款;情节严重的，报经有批准权的人民政府批准，责令停业、关团：（二超过水污物排放标准或者超过重点水污染物排放总量控制指标排放水污染物的；”br>《中华人民共和国水污染防治法》第八十三条第三项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令改正或者责令限制生产、停产整治，并处十万元以上百万元以下的罚款；情节严重的，报经有批准权的人民政府批准，责令停业关闭：（三利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物的；""br>《环[，一情形之一的，环境保护主管部门可以责令其采取停产整治措施：（一）通过暗管渗井、渗坑、灌注或者算改、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式排放污染物，超过污染物排放标准的：”"
处罚类别,责令停产停业
处罚内容,责令停产整治
罚款金额（万元）,---
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-10-08
处罚有效期,2099-12-31
公示截止期,2023-10-08
处罚机关,大连市生态环境局（大连市庄河生态环境分局）
