组织名称,大连由由饮品有限公司
统一社会信用代码,912102136692432901
行政处罚决定文书号,大金普市监生处【2022」16号
法人代表人,孙恩伯
违法行为类型,：】酵母数值超过国家食品安全标准要求的行为违反了《中华人民共和国食品安全法》第一十四条的规定，构成广生产不符合国家食品安全标准食品的违法行为，
违法事实,当事人在2022年5月18日生产的大连老汽水（生产日期：2022年5月18日，规格型号：450ml/瓶，20瓶/箱，经抽样检验，酵母数值超过国家食品安全标准要求的行为违反了《中华人民共和国食品安全法》第一十四条“禁止生产经营下列食品、食品添加剂、食品相关产品（十三）其他不符合法律、法规或者食品安全标准的食品、食品添加剂、食品相关产品”的规定
处罚依据,依据《食品安全法第一白二十四条第二款违反本法规定，有个列情形之一尚不构成犯罪的，由县级以上人民政府食品约品监管管理部阶没收违法所得和建法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：除前款和本法第一百二十三条、第一白二十五条规定的情形外，生产经营不符合法律、法规或者食品安全标准的食品、食品添加剂的，依照前款规定给予处罚。“进行处罚
处罚类别,没收违法所得，罚款
处罚内容,没收违法所得1526元：罚款25000元
罚款金额（万元）,2.50.1526
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-02
处罚有效期,2099-12-31
公示截止期,2023-12-02
处罚机关,大连金普新区市场监督管理局
