组织名称,大连旅顺卓越大药房
统一社会信用代码,91210212796912303T
行政处罚决定文书号,旅市监处罚[2022】87号
法人代表人,王丽红
违法行为类型,"大连旅顺卓越大药房以上违法行为涉嫌违反了《中华人民共和国药品管理法》第九十八条第一款、第三款第（一）项、第（七）项""禁止生产（包括配制，下同」、销售、使用假药、劣药：有下列情形之一的，为劣药：（一药品所含成份与国家药品标准规定的成份不符。（七】其他不符合药品标准的药品。“的规定"
违法事实,大连旅顺卓越大药房2021年2月9日从大连为众药业有限公司购进批号为200901的炒酸零仁，购进2千克，购进价格0.338元克，销售价格0.95元克，货值金额1900元：2021年9月13日从大连为众药业有限公司购进批号为200901的炒酸枣仁，购进2千克，购进价格0.398元/克，销售价格0.95元/克，货值金额1900元.已全部销售。货值金额共计3800元，认定违法所得共计3800元。当事人的上述行为，构成销售不合格药品的违法行为。
处罚依据,"依据《中华人民共和国行政处罚法》第二十八条第一款""行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。”、《中华人民共和国约品管理法实施条例》第七十五条“药品经营企业、医疗机构未违反《药品管理法》和本条例的有关韧定，并有充分证据证明其不知道所销售或者使用的药品是假药，势约的，应当没收其销售或者便用的假约、势约和违法所得；但是，可以免除其他行政处罚“的规定。"
处罚类别,没收违法所得
处罚内容,没收违法所得3800元。
罚款金额（万元）,--0.38
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-30
处罚有效期,2023-11-30
公示截止期,2025-11-30
处罚机关,大连市旅顺口区市场监督管理局
