组织名称,大连泓洋食品有限公司
统一社会信用代码,91210283773022076Y
行政处罚决定文书号,大环罚决字[2022】050019
法人代表人,周吉坤
违法行为类型,《中华人民共和国水污染防治法》第三十九条：禁止利用漆井、坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物。
违法事实,2022年6月24日，庄河生态环境分局李洪兵、徐晓飞对该公司现场检查时发现：经跟踪查看，厂区外污水井水泥管道排放口溢流出红色染色剂，此水泥管道非污水处理站排放管道。污水处理站上水设备设施供不上水，污水处理格栅处于干状态，未正常使用。
处罚依据,《中华人民共和国水污染防治法》第八十三条第三项：违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部阳门责令改正或者责令限制生产、停产整治，并处十万元以上一百万元以下的罚款;情节严重的，报经有批准权的人民政府批准，责令停业、关闭：<b>三利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物的
处罚类别,罚款
处罚内容,处10万元罚款
罚款金额（万元）,10--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-10-11
处罚有效期,2099-12-31
公示截止期,2023-10-11
处罚机关,大连市生态环境局大连市庄河生态环境分局
