组织名称,辽宁奥鑫友邦电器有限公司
统一社会信用代码,91210200096388125X
行政处罚决定文书号,大税三稽罚【2022】32号
法人代表人,于文华
违法行为类型,对纳税人、扣缴义务人愉税行为的处罚
违法事实,"你单位2022年5月至7月期间向金文、闫为蔺、梁然、刘宏军、韩冠男等客户销售空调、冰箱、洗衣机、冷柜、电视机、电饭锅等电器。2022年5月共销售各种电器36台，收到货款131,176.00元（不含税金额116,084.96元，税额15,091.04元）：2022年6月共销售各种电器212台：收到货款522,054.00元（不含税金额461,9900元（不含税金额839,053.10元，税额109,076.90元）。你单位完成商品销售后货款已收取，货物已发出，纳税义务已发生，你单位未确认收入，未结转销售成本。以上造成少计2022年5月增值税销项税额15,091.04元，少计2022年6月增值税销项税额60,059.31元，少计2022年7月增值税销项税额109,076.90元。上述事实，有以下证据证实；1.《营业执照》复制件：2.《证明》原件：3. 增值税留抵退税清册查询》4.《2019年12月、2020年12月、2021年12月、2022年1月-2022年7月增值税纳税申报表主表》复制件：5.（2019年-2021年企业所得税年度纳税申报表》复制件：6.《2022年企业所得税季度预缴纳税申报表》复制件;7.《情况说明》原件：8.《询问（调查）笔录第一次（舒慧）》，附被询问人舒慧居民身份证复制件；9.《库存报表》复制件：10.《销售台账》及《专用收款收据》、《出库单》复制件：11《2019年-2022年库存商品明细账、（2019年-2022年主营业务收入明细账》、《2019年-2022年主营业务成本明细账》复制件：12.《2019年-2022年银行存款总账》及银行交易流水复制件13.《记账凭证》复制件。"
处罚依据,"《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐暨、擅自销毁账薄、记账凭证,或者在账薄上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款；构成犯罪的，依法追究刑事责任""的规定"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,9.211363
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-28
处罚有效期,2022-12-13
公示截止期,2023-11-28
处罚机关,国家税务总局大连市税务局第三稽查局
