组织名称,庄河市宏业安泰药房
统一社会信用代码,91210283MA10F6RW0A
行政处罚决定文书号,庄市监药处罚【2022】7号
法人代表人,王德斌
违法行为类型,"违反了《中华人民共和国药品管理法第九十八条第一款""禁止生产（包括配制，下同）、销售、使用假药、劣药。”、第二款有下列情形之一的，为假药：第（一项""药品所含成份与国家药品标准规定的成份不符：“的规定，"
违法事实,"是庄河市宏业安泰药房于2020年08月17日从大连为众药业有限公司购进“奥利后他胶囊”（生产企业：中山万汉制药有限公司，批号：02200626），共购进2盒，2021年08月31日将该批次""奥利司他胶囊”（生产企业：中山万汉制药有限公司，批号：02200626）支退回大为众药业有限公司1盒。截至案发剩余1盒已出售，无剩余。购进价为5.10元/盒、零售价为85.00元/盒。货值金额为85.0元元，违法所得27.90元"
处罚依据,"依据《中华人民共和国药品管理法实施条例》第七十五条“药品经营企业、医疗机构未违反《药品管理法》和本条例的有关规定，并有充分证据证明其不知道所销售或者使用的药品是假药、劣药的，应当没收其销售或者使用的假药、劣药和违法所得：但是，可以免除其他行政处罚。“依据《关于药品管理法>药品管理法实施条例>“违法所得""问题的批复》（国食药监法[200775号】”《药品管理法实施条例》第八十一条规定的违法所得是指售出价格与购入价格的差价，。依据“药品经营企业、医疗机构备以下情形的，视为符合《药品管理法实施条例》第七十五条的“充分证据”，依据该条规定，没收其销售或者适用的假药劣药的违法所得，但是可以免除基他行政处罚。（一进货渠道合法，且能提供真实合法的药品生产或者经营许可证、营业执照、授权委托书、销售票据、药品合格证明等证明：（二）药品购（销）记录、入库检查验收记录真实完整：（三药品的储存、保管和养护未违反有关规定且有真实完整的记录。“的规定"
处罚类别,没收违法所得
处罚内容,1、责令正违法行为2、没收违法所得27.90元
罚款金额（万元）,"""0.00279"
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-03-21
处罚有效期,2027-03-21
公示截止期,2025-03-21
处罚机关,庄河市市场监督管理局
