组织名称,大连宗航油品有限公司
统一社会信用代码,91210282118748671E
行政处罚决定文书号,普]应急罚[2022184001号
法人代表人,吕辉
违法行为类型,该单位有关闭直接关察生产安全的监控报警设备的行为。违反广《中华人民共和国安全生产法》第三十六条第三款：“生产经营单位不得关闭、破坏直接关系生产安全的监控、报警、防护、救生设备、设施，或者寞改、隐脑、销毁其相关数据、信息。“的规定。
违法事实,2022年9月14日，大连市普兰店区应急管理局执法人员对该单位开展执法检查时，发现该单位有关闭直接关系生产安全的监控报警设备的行为。
处罚依据,依据《中华人民共和国安全生产法》第九十九条第四项：“生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款：逾期未改止的，处五方元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处一万元以上二方元以下的罚款：情节严重的，责令停产停业整顿：构成犯罪的，依照刑法有关规定追究刑事责任：四关团、破坏直接关察生产安全的监控、报警、防护、救生设备、设施，或者寞、隐、销毁其相关数据、信息的。”
处罚类别,罚款
处罚内容,"决定给予处人民币壹万元（￥10,000.00）罚款的行政处罚。"
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-10-17
处罚有效期,2052-10-17
公示截止期,2023-10-17
处罚机关,大连市普兰店区应急管理局
