组织名称,大连金普新区医佳源诊所（有限音快）
统一社会信用代码,91210213MA1112VWQ7R
行政处罚决定文书号,大金卫医罚【2022】52号
法人代表人,杨洪玉
违法行为类型,《医疗纠纷预防和处理条例》第十五条第一款
违法事实,你单于2022年9月1日，便用多机构备案热业医师杨洪玉（明知受情处置期间遂所需要停止诊疗服务情况下在诊所内接诊名惠者开展针疑治疗了，并开具头拒克历颗粒盒，未升具处方，存在未按定填写与病历资料的行为，违反了《医疗纠纷预防和处理条例》第十五条第一款，依据《医疗纠纷预防和处理条例》第四十七条第（四项，应予处罚，建议豆案调查。
处罚依据,《医疗纠纷预防和处理条例》第四十七条第（四）项
处罚类别,"罚款,警告"
处罚内容,你单位于2022年9月1日，使用多机构备执业医师杨洪玉（明知疫情处置期间诊所需要停止诊疗服务情况下在诊所内接诊1名惠者开展针灸治疗，并开具头孢克肘颗粒盒，未开具处方，存任未按规定填写病历资料的行为，违反了《医疗纠纷预防和处理条例第十五条第一款，依据《医疗纠纷预防和处理条例》第四十七条第（四项，给予你（单位：1、警告：2、罚款人民币壹万伍仟元整的的行政处罚。
罚款金额（万元）,1.5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-25
处罚有效期,2099-12-31
公示截止期,2023-11-25
处罚机关,大连金普新区卫生健康局
