组织名称,大连旅顺华配牡丹科技发展有限公司
统一社会信用代码,91210212MA0TW/VWG4Q
行政处罚决定文书号,大自然资监罚字【2022】第001号
法人代表人,黄锦
违法行为类型,未经批准非法占用士地
违法事实,该单位在未取得王地审批手续的情况下，擅自于2020年9月开始在旅顺口区长城街道赵家村分别占用士地建设1婚礼殿堂、2栋礼殿堂配套房屋及周边方砖设施、11栋木质板房、7个地基，占地面积合计3045.3平方米，建筑面积合计18665平方米，占地类型村庄876.4平方米，符合土地利用总体规划：果园1042.5平方米，部分（78.8平方米不符合王地利用总体规划：农村道路102.2平方米，符合王地利用总体规划：裸地1024.2平方米，部分不符合士地利用总体规划。
处罚依据,该行为违反了《中华人民共和国王地管理法》第二条、第四十四条的规定。依据《中华人民共和国士地管理法》第七十七条和（中华人民共和国士地管理法实施条例》第四十二条（2014年修订版）的规定，按照《大连市国土资源和房屋局行政处罚自由裁量权指导标准》，作出行政处罚。
处罚类别,"其他,罚款"
处罚内容,1、限期15日内将非法占用的3045.3平方米土地退还给长城街道赵家村民委员会：2、没收在非法占用的符合士地利用总体规划的963.7平方米果园、102.2平方米农村道路用地上建设的部分2号建筑（建筑面积349./平方米1、部分3号建筑（建筑面积27.7平万米1及其他设施（占地合计688.5平万米1：3、限期15日内拆除在非法占用的不符合士地利用总体规划的.8平方米果园用地上建设的部分12号建筑（建筑面积31.8平方米）、13号建筑（建筑面积47.0平方米），恢复士地原状：4、处以非法占用的村庄、裸地每平方米20元的罚款：农村道路、果园每平方米30元罚款，金额合计为：72353.0元。
罚款金额（万元）,7.2353--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-01-29
处罚有效期,2025-01-29
公示截止期,2025-01-29
处罚机关,大连市自然资源局
