组织名称,大连保诚水产有限公司
统一社会信用代码,91210224665840311G
行政处罚决定文书号,2022060007
法人代表人,张青
违法行为类型,《中华人民共和国海洋环境保护法》第三十条：向海域放陆源污染物，必须严格执行国家或者地方规定的标准和有关规定。
违法事实,2022年6月10日，监察人员傅强、郑莉到位于长海县大长山岛镇三盘碾子D园的大连保诚水产有限公司进行现场检查，监察人员在你单位污水总排口采集水样。川扬检测技术有限公可对该水样进行了监测，《监测报告》显示你单位2022年6月10日总排口排水中总氮浓度为29.6mg/L、超过《辽宁省污水综合排放标准》表1中的总氮标准（总氮： 15 mg/L 超标1.97倍。
处罚依据,《中华人民共和国海洋环境保护法》第七十三条第一款第二项、第二款：违反本法有关规定，有下列行为之一的，由依照本法规定行便海洋环境监管管理权的部阳门责令限期改正，并处以罚款：（二不接按本法规定向海洋排放污染物，或者超过标准、总量控制指标排放污染物的：有前款第（二）、（四）项行为之一的，处二万元以上十万元以下的罚款。
处罚类别,罚款
处罚内容,罚款人民币贰万元整（?20000）#
罚款金额（万元）,2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-07-27
处罚有效期,2099-12-31
公示截止期,2023-07-27
处罚机关,大连市生态环境局
