组织名称,大连润腾水产食品有限公
统一社会信用代码,91210212559841441F
行政处罚决定文书号,大自然资监罚字【2022】第024号
法人代表人,刘明富
违法行为类型,未经批准非法占用王地
违法事实,该单位在未取得任何合法有效的用地审批手续的情况下，擅自于2021年5月开始三，2021年8月底房屋竣工。该单位在占用士地上建有1栋房屋用于仓库（储存裙带菜，建有水泥地面，并堆放用于公司生产经营的生产物资，占用土地面积合计1713.8平方米，建筑面积合计578.9平方米，用地类型为村庄，不符合《旅顺口区王地利用总体规划（2006-2020年：其他林地，部分符合（旅顺口区王地利用总体规划（2006-2020年），部分不符合《旅顺口区王地利用总体规划（2006-2020年】》。其中：@号建筑占地面积578.9平方米，建筑面积578.9平方米，占地类型其他林地，不符合《旅顺口区王地利用总体规划（2006-2020年）》：水泥地面占地面积175.4平方米，占地类型村庄，不符合（旅顺口区王地利用总体规划（2006-2020年）》。
处罚依据,该行为违反了中华人民共和国土地管理法》第二条第三款第四十四条第一款的规定。依据《中华人民共和国士地管理法》第七十七条第一款和《中华人民共和国士地管理法实施条例》（2014年修订版】第四十二条的规定依法作出行政处罚。
处罚类别,"其他,罚款"
处罚内容,1、限期15日内将非法占用的1713.8平方米士地退还给大连市旅顺口区三堡街道小黑石村村民委员会：2、限期15日内拆除在非法占用的58.9平方米不符台士地利用总体规划的其他林地上建设的@号建筑（建筑面积578.9平方米），恢复王地原状：3、处以非法占用的村庄、其他林地用地面积每平方米10元罚款，金额为：1713.8平方米×10元/平方米=17138.0元。
罚款金额（万元）,1.7138
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-08-08
处罚有效期,2025-08-08
公示截止期,2025-08-08
处罚机关,大连市自然资源局
