组织名称,大连家乐福商业有限公司北京街店
统一社会信用代码,9121020056551210X6
行政处罚决定文书号,西应急案【2022】处罚-4号
法人代表人,陈达
违法行为类型,违反《生产安全事故应急案管理力法》第三十五条第二款矿山、金属治台炼，建筑施工企业和易燃易爆物品、危险化学品等危险物品的生产、经营、储存、运输企业、便用危险化学品达到国家规定数量的化工企业、烟花爆竹生产、批发经营企业和中型规模以上的其他生产经营单位，应当每一年进行一次应急预评估、第三十六条第一项“有下列情形之一的，应急预案应当及时修订并归档：（一依据的法律、法规、规章、标准及上位预案中的有关规定发生重大变化的的规定
违法事实,未按规定修订应急预案并进行评估
处罚依据,"《生产安全事故应急预案管理力法》第四十五条第一款第四项、第五项规定：""生产经营单位有下列情形之一的，由县级以上安全生产监督管理部门责令限期改正，可以处1万元以上3方元以下罚款：（凸未接照规定升展应急预案评适的；（五未按照规定进行应急预案修订的；…"
处罚类别,罚款
处罚内容,责令限期改正，处人民币贰万元（20，000.00元）的罚款
罚款金额（万元）,2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-07-14
处罚有效期,2024-11-14
公示截止期,2023-07-14
处罚机关,大连市西岗区应急管理局
