组织名称,大连四达食品有限公司
统一社会信用代码,912102827443691345
行政处罚决定文书号,20220516
法人代表人,魏立夫
违法行为类型,《中华人民共和国土地管理法》第二祭第三款：“任何单位和个人不得侵占、买卖或者以其他形式非法转让士地。“和第四十四条第一款：“建设占用土地，涉及农用地转为建设用地的，应当力理农用地转用审批手续”的规定。
违法事实,建房
处罚依据,《中华人民共和国士地管理法》第七十七条第一款：“未经批准或者采取欺骗编手段骗取批准，非法占用王地的，由县级以上人民政府王地行政主管部门责令退还非法占用的士地，对违反士地利用总体规划擅自将农用地改为建设用地的，限期大连四达食品有限公司自行拆除在非法占用的土地上新建的建筑物和其他设施对符合士地利用总体规划的，没收在非法占用的士地上新建的建筑物和其他设施，：十《是王国丫中》蓝共照《王地管理法》第七十六条的规定处以罚款的，罚款额为非法占用士地每平方民共和国士地管理法》第七十七条，内容完全一致，根据《行政处罚法》（2021年修订】第三十七条关于从旧兼从轻处罚原则的规定，本案的违法时间为2020年10月，因此本案的违法行为适用2014年修订版《土地管理法实施条例》来进行处罚的规定
处罚类别,罚款
处罚内容,民委员会。2、没收大连四达食品有限公司在符合土地利用总体规划的农用地上修建的673平方米建筑物和1372平方米硬质地面及其他设施。。3、对你单位(个人非法占用184平方米耕地和1861平方米水域及水利设施用地的行为处以每平方米20元罚款，对非法占用550平方米草地的行为处以每平方米10元的罚款，罚款金额合计46400元整。
罚款金额（万元）,4.64
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-28
处罚有效期,2099-12-31
公示截止期,2023-11-28
处罚机关,大连市自然资源局
