组织名称,大连文厂传媒集团有限责任公司
统一社会信用代码,91210213723485072A
行政处罚决定文书号,大金普市监网处【2022】08号
法人代表人,张仁峰
违法行为类型,大连文广传媒集团有限责任公司发布违法药品广告案
违法事实,"经查，当事人自2022年8月1日至8月31日在金普新区电FM98.4频率播放金州故事广播栏自“长寿密码：宫珍保原汤”，真体时段为每天17:00-17:50。该栏自专用产品，油活骨肽；3'11”主持人：‘收音机前的听众朋友们，大家好，欢迎收听大型健康探案类栏自长寿密码’：0409“主持人：温警提示官珍保元汤通用名称，宫珍鹿算口服液，收到约品，请核实包装盒左上角宫珍商标，谨防假冒：723""林华：而且这其中有15位惠者通过服用珍保元汤从三级心衰逆转到二级心衰：26’56”旁日：‘鹊油活骨肽让坏死的骨头活起来，让僵硬变形的关节动起来，让风湿骨病的惠者彻底好起来“等内容该栏自提到的宫珍保原汤的产品名称叫鹿茸口服液，是非处方药，提到的油活骨肽的产品名称叫悦鑫美鹊油蛇鸟膏，是普通化妆品。当事人在调查中虽提交了一份2022年4月14日通过的鹿算口服液的广告审查准予许可决定书》，但审查通过的广告样件内容与该药品广告不一致。栏自中的林华是一名医生。当事人与钓鱼合医约集团吉林大强制约股份有限公可销售代表签有专题厂告发布合同，约定每月厂告费用200元。当事人已于9月1日将该栏自停播。"
处罚依据,依据《中华人民共和国广告法》第十九条、《药品、医疗器械、保健食品、特殊医学用途配方食品广告审查管理暂行力法》第十一、二十条之规定。
处罚类别,罚款
处罚内容,责令当事人停止发布上述厂告，没收广告费用200元，罚款200元，
罚款金额（万元）,0.04
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-06
处罚有效期,2099-12-31
公示截止期,2023-12-06
处罚机关,大连金普新区市场监督管理局
