组织名称,大连文广传媒集团有限责任公司
统一社会信用代码,91210213723485072A
行政处罚决定文书号,大金普市监网处【2022】07号
法人代表人,张仁峰
违法行为类型,大连文广传媒集团有限责任公司发布违法药品广告案
违法事实,"经查：当事人自2022年7月1日至7月31日在金普新区电台FM98.4频率播放金州故事广播栏自“新知力寿百年：能量丹”，体时段为每天5:00-5:50,22:00-2250。该栏自内容含有”1分25秒芳日：能量丹富含生命能量聚合因子，快速入气入血入细胞，实现情绪壮血活细胞的功效，让老慢病得到最快速的治疗和全面康复：1分50秒旁白：欢迎您，跟随刘老师，一起走进新知力寿百年栏自，学习健康知识、乐享百岁人生：2分3秒主持人：“收音机前的听众朋友大家好！您现在正在收听的是大型身心健康节自新知力寿百年”等内容。该栏自提到的能量丹的全称灵芝北片，是非处方约，当事人在调查中虽提交了一份2021年7月1日通过的（药品广告审查准予许可决定书》，但审查通过的广告样件内容与该药品广告不一致。栏自中的刘晓婷是一名医生。当事人与药品生产企业销售代表签有专题广告发布合同，约定每月广告费用200元。当事人已于7月29日将该栏自停播。"
处罚依据,依据《中华人民共和国广告法》第十九条、《药品、医疗器械、保健食品、特殊医学用途配方食品广告审查管理暂行力法》第十一、二十条之规定。
处罚类别,罚款
处罚内容,责令当事人停止发布上述广告，没收广告费用200元，罚款200元。
罚款金额（万元）,0.04
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-06
处罚有效期,2099-12-31
公示截止期,2023-12-06
处罚机关,大连金普新区市场监督管理局
