组织名称,大连家园建设集团有限公司
统一社会信用代码,91210200241088920H
行政处罚决定文书号,大自然资监罚字【2022】第037号
法人代表人,刘德成
违法行为类型,擅自改变林地用途
违法事实,经查，大连家园建设集团在未取得使用林地手续的情况下，于2010年起在大连市中山区卡纳意乡小区景山东园的位置开工建设办公楼，施工过程中擅自对案发地点的林地进行了平整，并建有楼房及附属设施。根据宁智测自然资源调查规有限公司出真的《林地现场勘查报告》（智测2022D11/号确认，大连象园建设集团有限公司占用毁坏林地面积为0.0960公项（1.44亩）、3林班15小班内毁坏林地面积0.0273公项（0.41亩）总面积0.1233公项。森林类别为地方公益林，权属为国有。
处罚依据,当事人大连家园建设集团有限公司的行为，违反《中华人民和国森林法》（2009年修正版第十条：“进行勘查、开采矿藏和各项建设工程，应当不占或者少占林地：必须占用或者征用林地的，经县级以上人民政府林业主管部审核同意后，依照有关士地管理的法律、行政法规办理建设用地审批手续，并由用地单位依照国务院有关规定缴纳森林植被恢复费。”根据《中华人民共和国森林法实施条例》第四十三条：“未经县级以上人民政府林业主管部队门审核同意，擅自改变林地用途的，由县级以上人民政府林业主管部队责令限期恢复原状，并处非法改变用途林地每平方米10元至30元的罚款。”的规定依法去作出行政处罚。
处罚类别,"其他,罚款"
处罚内容,1、对非法占用的1233平方米林地处以每平方米30元罚款，共计罚款人民币罚款人民币36990元2、限于2023年4月30日前恢复林地原状（拆除所占用林地修建的建（构）筑物及地面硬覆盖，恢复植被和林业生产条件）。
罚款金额（万元）,3.699--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-26
处罚有效期,2025-12-26
公示截止期,2025-12-26
处罚机关,大连市自然资源局
