组织名称,大连赛维矿业股份有限公司
统一社会信用代码,91210200669242183H
行政处罚决定文书号,大税二稽罚[2023]6号
法人代表人,曲振国
违法行为类型,其他违法
违法事实,"（一）你公司2019年3月购买手机，凭证号：2019年3月（36号）：金额：5,999.00元，上述业务计入管理费用-业务招待费中，经财务负责人陈述，该手机是由你公司股东个人使用，与生产经营无关，按照业务招待费的60%在企业所得税税前列支，导致你公司少计2019年应纳税所得额3,599.4元。上述业务实质为以企业资金为个人投资者支付与企业生产经营无关的消费性支出，应按照股息、红利所得代扣代缴个人所得税，导致你公司少代扣代缴个人所得税1,199.80元。=)1你公司2019年12月支付车位租赁费，凭证号：2019年12月（223号】，金额：4,800.00元，上述业务计入管理费用-车辆费用中，经检查发现该笔凭证所附发票备注栏地址为”大连市沙河口区新生路方客园150号大连城市花园”与该企业办公经营地址不符，经财务负责人陈述，该笔业务所涉及的车位租赁费是你公司股东报销的私人停车费，属于个人消费与生产经营无关，已全额在企业所得税税前列支，导致你公司少计2019年应纳税所得额4,800.00元。上述业务实质为上述业务实质为以企业资金为个人投资者支付与企业生产经营无关的消费性支出，应按照股息、红利所得代扣代缴个人所得税，导致你公司少代扣代缴个人所得税960.00元。上述事实，有以下证据证实；1.《询问笔录》（被询问人：王春月）2.《情况说明》（说明人：曲振国）3.（2019年3月报销管理费用-业务招待费36#记账凭证后附增值税普通发票》复制件；4.《2019年12月报销管理费用车辆费用223#记账凭证后附增值税普通发票》复制件；5.（2019年管理费用业务招待费明细账复制件：6.2019年管理费用-车辆费用明细账》复制件7.《2019年-2021年企业所得税申报表主表》复制件；8.《2019年企业所得税纳税调整项目明细表》复制件：9.《2021年企业所得税弥补亏损明细表》复制件;10.《2017年企业所得税弥补亏损明细表》复制件：11.《2013年企业所得税申报表主表》复制件："
处罚依据,根据《中华人民共和国税收征收管理法》第六十九
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.10799
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-10
处罚有效期,2023-03-27
公示截止期,2024-03-10
处罚机关,国家税务总局大连市税务局第二稽查局
