组织名称,白事达商务服务有限公司
统一社会信用代码,9121020011853178XK
行政处罚决定文书号,大税三稽罚[2023】9号
法人代表人,陈育林
违法行为类型,逃避缴纳税款
违法事实,你单位由于在近年内多次搬家，纸质资料包含会计账薄等其他物品搬入有关仓库代管，2020年度由于仓库动迁，其库管人员回黑龙江老家不能正常返连，致便你单位大部分账薄和凭证损毁。直由于你单位多年未交财务软件网络服务费，按设安易软件公司约定的数据库已全部割掉，无法恢复打印账薄。因此未向我局提供2018年账薄资料。我局于2023年2月20日向你单位下达（责令限期正通知书》（大税三稽限【2023】4号】，你单位明确表示限期内无法改正。对你单位未按照规定保管账薄资料的行为，
处罚依据,根据《中华人民共和国税收征收管理法》第六十条第一款第（二】项“纳税人有下列行为之一的，由税务机关责令限期改正，可以处二于元以下的罚款：情节严重的，处二十元以上一方元以下的罚款：（二未按照规是设置、保管账薄或者保管记账凭证和有关资料的”，大连市税务行政处罚裁量基准》（2018年第14号第十条第（三项“未按规定保管税务机关未检查过的账薄、记账凭证和有关资料，在限期内改正的，处一于元以上二于元以下的罚款：在限期内未改正或者有其他严重情节的，处二千元以上一万元以下的罚款”的规定，
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-03-10
处罚有效期,2023-03-28
公示截止期,2024-03-10
处罚机关,国家税务总局大连市税务局第三稽查局
