组织名称,大连盛鑫源金属有限公司
统一社会信用代码,91210242095237704Y
行政处罚决定文书号,大环罚决字[2023]070003号
法人代表人,陈晓伟
违法行为类型,《放射性同位素与射装置安全和防护条例》第十五条：“禁止无许可证或者不按照许可证规定的种类和范围从事放射性同位素和射线装置的生产、销售、使用活动。”
违法事实,"大连盛鑫源金属有限公司主要从事废铁之类的金属废品物资回收，2021年7月其从赢州科技（上海）有限公司购实并便用了一合光射线荧光分析仪，是手持设备，用于分析确认收购废铁的成分一年大约使用了、8次，该设备自用,不产生收入，该设备未力理辐射安全许可证，。"
处罚依据,《放射性同位素与射线装置安全和防护条例》第五十二条第一项：“违反本条例规定，生产、销售、使用放射性同位素和射装置的单位有下列行为之一的，由县级以上人民政府环境保护主管部门责令停止违法行为，限期改正：逾期不改正的，责令停产停业或者由原发证机关吊销许可证：有违法所得的，没收违法所得：违法所得10万元以上的，并处违法所得倍以上5倍以下的罚款：没有违法所得或者法所得不足10方元的，并处1万元以上0方元以下的罚款：（一无许可证从事放射性同位素和射线装置生产、销售、便用活动的：“
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000）：
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-24
处罚有效期,2099-12-31
公示截止期,2024-02-24
处罚机关,大连市生态环境局
