组织名称,铁美大连新材料科技有限公司
统一社会信用代码,91210200MA0XQ3DK3K
行政处罚决定文书号,大税二稽罚【2023】5号
法人代表人,陆兴
违法行为类型,其他违法
违法事实,"你单位2019年9月、2019年12月、2020年8月、2020年11月为非公司雇用的个人报销车辆维修费用、停车费（金额63,088.79元，税额9,679.80元，价税合计72，768.59元）。未按照规定代扣代缴个人所得税11,642.97元。"
处罚依据,"根据《中华人民和国税收征收管理法第六十九条“扣缴义务人应扣未扣、应收而不收税款的，由税务机关向纳税人追缴税款，对扣缴义务人处应扣未扣、应收未收税款白分之五十以上一倍以下的罚款”：大连市税务行政处罚裁量基准》（公告2021年6号）第163条积极配合税务机关补扣、补收应扣未扣、应收未收税款，情节较轻，处以50%的罚款”的规定，对你单未按规定代扣缴个人所得税11,642.97元处以百分之五十罚款5,821.49元。"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.582149--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-23
处罚有效期,2023-03-10
公示截止期,2024-02-23
处罚机关,国家税务总局大连市税务局第二稽查局
