组织名称,大连福慧机械设备有限公司
统一社会信用代码,91210212MA0XTL3Q4R
行政处罚决定文书号,旅应急罚【2022】5009号
法人代表人,洪海波
违法行为类型,《中华人民共和国安全生产法》第一百一十四条第一项
违法事实,2022年7月28日下年15时45分许，大连福慧机械设备有限公司一名工人在进行拆120现场救护人员现场确认死亡。后经调查确定为一起一般高处坠落生产安全事故。经事故调查组调查发现：大连福慧机械设备有限公司没有落实企业安全生产主体责任。安全管理制度不完善，未制定安全风险分级管控制度，未对高处作业等存任的风险进行评价、分级，未采取相应的管控措施，对施工作业现场缺之管理，没有进行安全检查，没有及时发现安全隐惠并进行排除，导致事故发生，综上，大连福慧机械设备有限公司对事故发生负有主要责任。
处罚依据,《中华人民共和国安全生产法》第一白一十四条第一项
处罚类别,罚款
处罚内容,2022年7月28日下年15时45分许，大连福慧机械设备有限公司一名工人在进行拆120现场救护人员现场确认死亡。后经调确定为一起一般高处坠落生产安全事故。经事故调查组调查发现：大连福慧机械设备有限公司没有落实企业安全生产主体责任。安全管理制度不完善，未制定安全风险分级管控制度，未对高处作业等存在的风险进行评价、分级，未取相应的管控措施，对施工作业现场缺乏管理，没有进行安全检查，没有及时发现安全隐患并进行排除，导致事故发生，综上，大连福慧机械设备有限公可对事故发生负有主要责任。
罚款金额（万元）,30
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-12-12
处罚有效期,2022-12-27
公示截止期,2025-12-12
处罚机关,旅顺口区应急管理局
