组织名称,辽宁坤泽建筑工程有限公司
统一社会信用代码,91210283MA109B2278
行政处罚决定文书号,农（农投罚【2022】5号
法人代表人,赵文龙
违法行为类型,一呈规律性差异“的相关规定。
违法事实,根据（大连市审计局关于我市高标准农由建设资金专项审计调查发现问题的整改意见函》“庄河市2021年高标准农由建设项自一标段采购项目，中标单位了宁坤泽建筑工程有限公司的投标文件存在与大连嘉奕市政工程有限公司的投标文件有多处段落文字完全相同，其中俗语和成语引用等个性化内容异常一致”，该公司涉嫌相互串通投标。
处罚依据,依据《中华人民共和国招标投标法去》第五十三条“投标人相互串通投标或者与招标人串通投标的，投标人以向招标人或者评标委员会成员行贿的手段谋取中标的中标无效，处中标目金额千分之五以上千分之十以下的罚款，对单位直接负责的主管人员和其他直接责任人员处单位罚款数额百分之五以上百分之十以下的罚款：有违法所得的，并处没收违法所得：情节严重的，取消其一年至二年内参加依法必须进行招标的项自的投标资格并予以公告，直至由工商行政管理机关吊销营业执照；构成犯罪的，依法追究刑事责任。给他人造成损失的，依法承担赔偿责任”的规定。
处罚类别,罚款
处罚内容,1、给予辽宁坤泽建筑工程有限公司中标项目金额千分之五的罚款，即2611451.08元×5%=13057.3元2、给予宁坤泽建筑工程有限公司的法人代表赵文龙处单位罚款数额百分之五的罚款，即13057.3元×5%=653元
罚款金额（万元）,1.37103--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-29
处罚有效期,2023-11-29
公示截止期,2023-11-29
处罚机关,庄河市农业农村局
