组织名称,大连嘉奕市政工程有限公司
统一社会信用代码,91210283MA10BA0P05
行政处罚决定文书号,庄农(农投)罚【2022】4号
法人代表人,李忠春
违法行为类型,《中华人民共和国招标投标法实施条例》第四十条第四项“有下列情形之一的，呈规律性差异“的相关规定。
违法事实,根据《大连市审计局关于我市高标准农由建设资金专项审计调查发现问题的整改意见函》“庄河市2021年高标准农由建设项目一标段采购项目，中标单位宁坤泽建筑工程有限公司的投标文件存在与大连嘉奕市政工程有限公司的投标文件有多处段落文字完全相同，其中俗语和成语引用等个性化内容异常一致”，该公可涉嫌相互串通投标。
处罚依据,依据《中华人民共和国招标投标法》第五十三条“投标人相互串通投标或者与招标人串通投标的，投标人以向招标人或者评标员会成员行的手段谋取中标的，中标无效，处中标项自金额十分之五以上十分之十以下的罚款，对单位直接负责的主管人员和其他直接责任人员处单位罚款数额百分之五以上百分之十以下的罚款：有违法所得的，并处没收违法所得：情节严重的，取消其一年至二年内参加依法必须进行招标的项自的投标资格并予以公告，直至由工商行政管理机关吊销营业执照；构成犯罪的，依法追究刑事责任。给他人造成损失的，依法承担赔尝责任“的规定。
处罚类别,罚款
处罚内容,1、给予大连嘉奕市政工程有限公司按照辽宁坤泽建筑工程有限公司中标项目金额千分之五的罚款，即2611451.08元×5%=13057.3元2、给予大连嘉奕市政工程有限公可法定代表人李思春处单位罚款数额百分之五的罚款，即13053元×5%=653元
罚款金额（万元）,1.37103--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-29
处罚有效期,2023-11-29
公示截止期,2023-11-29
处罚机关,庄河市农业农村局
