组织名称,大连水星海产有限公司
统一社会信用代码,91210224782474373K
行政处罚决定文书号,2022060001
法人代表人,王晓明
违法行为类型,《排污许可管理条例》第二十四条第三款需要填报排污登记表的企业事业单位和其他生产经营者，应当在全国排污许可证管理信息平合上填报基本信息、污梁物排放去向、执行的污染物排放标准以及采取的污染防治措施等信息：填报的信息发生变动的，应当自发生变动之日起20日内进行变更填报。的规定。
违法事实,2022年5月10日大连市长海生态环境分局监察人员傅强、郭勋到位于长海县小长山乡英杰村的大连水星海产有限公司进行现场检查时，该企业正在生产，车间内有6名工人在进行贝类包装作业，车间内无生产污水，排污口未见异常。经查证，该公司已经填报了固定污染源排污登记表，但未按照《排污许可管理条例》规定完整填报，未填报然料类别、废气排放形式、废气排放口名称、废水排放口名称等信息。
处罚依据,《排污许可管理条例》第四十三条需要填报排污登记表的企业事业单位和其他生产经者，未依照本条例规定填报排污信息的，由生态环境主管部阳门责令改正，可以处5万元以下的罚款
处罚类别,其他
处罚内容,不予处罚
罚款金额（万元）,""""
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-06-15
处罚有效期,2099-12-31
公示截止期,2023-06-15
处罚机关,大连市生态环境局
