组织名称,大连宝瑞铸业有限公司
统一社会信用代码,121021270214288X7
行政处罚决定文书号,旅应急罚【2022】5011号
法人代表人,高宝平
违法行为类型,《中华人民共和国安全生产法》第一百一十四条第一项
违法事实,2022年9月21日下年14时55分，旅顺口区水师营街道大连宝瑞铸业有限公司铸造车间厂房内一名工人在从事砂箱涂刷工作时，被突窦然倾倒的砂箱砸中，经抢救无效死亡。后经调查确认为一起一般物体打击生产安全事故。经事故调查组调查发现：大连宝瑞铸业有限公司落实企业安全生产主体责任不到位，未建健全并落实生产安全事故隐惠排查理制度：未制定砂型涂刷石英粉涂料安全操作规程：未对砂型涂刷人员进行安全生产培训和教育：公司主要负责人履行安全生产工作职责不到位，缺乏对铸造车间的监管检查，未能及时消除箱倾倒的事故隐惠，寻致事故发生。综上，大连宝瑞铸业有限公司对事故发生负有主要责任。
处罚依据,《中华人民共和国安全生产法》第一百一十四条第一项
处罚类别,罚款
处罚内容,2022年9月21日下年14时55分，旅顺口区水师营街道大连宝瑞铸业有限公司铸造车间厂房内一名工人在从事砂箱涂刷工作时，被突然倾倒的砂箱砸中，经抢救无效死亡。后经调查确认为一起一般物体打击生产安全事故。经事故调查组调查发现：大连宝瑞铸业有限公司落实企业安全生产主体责任不到位，未建豆健全并落实生产安全事故隐惠排查治理制度：未制定砂型涂刷石英粉涂料安全操作规程：未对砂型涂刷人员进行安全生产培训和教育：公司主要负责人履行安全生产工作职责不到位，缺之对铸造车间的监督检查，未能及时消除箱倾倒的事故隐惠，寻致事故发生。综上，大连宝瑞铸业有限公司对事故发生负有主要责任。
罚款金额（万元）,30
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-04
处罚有效期,2023-01-19
公示截止期,2026-01-04
处罚机关,旅顺口区应急管理局
