组织名称,大连盛丰蓄牧业发展有限公司
统一社会信用代码,91210213777295602T
行政处罚决定文书号,2023070007
法人代表人,寇帝
违法行为类型,《童离韧模养殖污染防条例》第二十条：向环境防放经过处理的童离养殖废弃物，应当符合国家和地方规定的污染物排放标准和总量控制指标。蓄离养殖废弃物未经处理，不得直接向环境排放
违法事实,"2023年2月22日大连市金普新区（金州）生态环境分局的行政执法人员到位于大连市金州区华家屯镇华家村的大莲盛丰雷牧业发展有限公司检查，发现位于厂区南门（1号门门）西侧有一处粪污由厂区内流到广界外空地上，金普新区生态环境监测站工作人员在现场采集水样，出具的大环（金）监字（2023第010号监测报告，监测结果显示化学需氧,量为373mg/L，超过了《辽宁省污水综合排放标准》规定的最高充许排放限值50mg/L的6.46倍。大连盛丰蓄牧业发展有限公司主要奶牛饲养，现存栏奶牛900余头。"
处罚依据,（蓄离规模养殖污染防治条例》第四十条：排放蓄离养殖废弃物不符合国家或者地方规定的污染物排放标准或者总量控制指标，或者未经无害化处理直接向环境排防放蓄离养殖废弃物的，由县级以上地方人民政府环境保护主管部阶责令限期治理，可以处5方元以下的罚款
处罚类别,罚款
处罚内容,罚款人民币伍万元整￥50000#
罚款金额（万元）,5-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-02
处罚有效期,2099-12-31
公示截止期,2024-04-02
处罚机关,大连市生态环境局
