组织名称,辽宁益安特种气体有限公司
统一社会信用代码,91210242MA119RJH2E
行政处罚决定文书号,大金普)应急罚[2023]MAR01号
法人代表人,许发益
违法行为类型,库、专用场地或者专用储存室（以下统称专用仓库）内，并由专人负责管理”《危险化学品安全管理条例》第三十七条规定“危险化学品经营企业不得向未经许可从事危险化学品生产、经营活动的企业采购危险化学品，不得经营没有化学品安全技术说明书或者化学品安全标签的危险化学品“的规定。
违法事实,一、租赁普通仓库存放40L压缩一氧化二氮共57瓶（实瓶），40L压缩氧气共59瓶（实瓶，40L氧气、二氧化碳、氩气、氮气空瓶共65瓶，待报废气瓶共27瓶;该仓库无建设项自安全设施”三同时”手续、未经正规设计、无消防验收、无防雷设施、无气体检测报警器、无安全警示标志，未经安全评价，不是储存危险化学品的专用仓库、专用场地或专用储存室。二、仓库内存放的用于经营的一氧化二氮和氧气等危险化学品无安全技术说明书和安全标签。
处罚依据,"依据1、《危险化学品安全管理条例》第八十条“生产、储存、使用危险化学品的单位有下列情形之一的，由安全生产监管理部阳门责令改正，处5方元以上10化学品以及储存数量构成重大危险源的其他危险化学品在专用仓库内单独存放的”;2、《危险化学品安全管理条例》第七十八条“有下列情形之一的，由安全生产监督管理部门责令改正，可以处5万元以下的罚款""第（六）项危险化学品经营企业经营没有化学品安全技术说明书和化学品安全标签的危险化学品的3、《安全生产违法行为行政处罚力法》（国家安全生产监督管理总局第15号】第五十三条“生产经营单位及其有关人员触犯不同的法律规定，有两个以上应当给予行政处罚的安全生产违法行为的，安全监管监察部门应当适用不同的法律规定，分另别裁量，合并处罚“的规定。"
处罚类别,罚款
处罚内容,作出罚款壹搭壹方伍什元人民币的行政处罚。
罚款金额（万元）,11.5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-30
处罚有效期,2099-12-31
公示截止期,2024-03-30
处罚机关,大连金普新区应急管理局
