组织名称,大连桐松食品有限公司
统一社会信用代码,912102110511091370
行政处罚决定文书号,大金普市监生处【2022】19号
法人代表人,于题
违法行为类型,生产的香辣海日菜（生产日期：2022年8月7日、规格型号：600克/袋、20袋箱）脱氢乙酸及基钠盐（以期脱氢乙酸计】项目不符合GB2760-2014《食品安全国家标准食品添加剂便用标准》要求的行为违反了中华人民共和国食品安全法》第四十六条第一项的规定。
违法事实,克009:日自80：日要日每星手重宗袋/箱1经抽样检验，脱氢乙酸及其钠盐（以期脱氢乙酸计项自不符台GB2/60-2℃14《食品安全国家标准食品添加剂便用标准》要求的行为违反了《中华人民共和国食品安全法》第四十六条第一项“食品生产企业应当就下列事项制定并实施控制要求，保证所生产的食品符合食品安全标准：（一原料采购、原料验收投料等原料控制”的规定。
处罚依据,依据《中华人民共和国食品安全法》第一百二十五条“违反本法规定，有列情形之一的，由县级以上人民政府食品药品监管管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五千元以上五万元以下罚款：货值金额一万方元以上的，并处货值金额五倍以上十倍以下罚款：情节产重的，责令停产停业，直至吊销许可证：（四食品生产经营者采购或者使用不符合食品安全标准的食品原料、食品添加剂、食品相关产品“的规定进行处罚。
处罚类别,没收违法所得，罚款
处罚内容,没收违法所得1800元：罚款10000元
罚款金额（万元）,10.18
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-08
处罚有效期,2099-12-31
公示截止期,2024-02-08
处罚机关,大连金普新区市场监管理局
