组织名称,大连诗福家庭农场
统一社会信用代码,91210282MA11AUNP7Y
行政处罚决定文书号,2022030018
法人代表人,毕诗福
违法行为类型,《中华人民共和国固体废物污梁环境防治法》六十五条第二款：“从事蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染。”
违法事实,2022年9月29日，你（单位）从事肉鸡养殖，建有面积约400平方米的干粪场一座容积约200立方米化粪池一座，现存栏肉鸡40000羽，在你（单位）北侧山上有粪污露天堆存，粪污堆存面积约30平方米，现场有异味
处罚依据,《中华人民和国固体废物污染环境防治法》第一百零七条从事童离规模殖未及时收集、贮存、利用或者处置养殖过程中产生的童离粪污等固体废物的，由生态环境主管部门责令改正，可以处十万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业或者关闭。
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000#
罚款金额（万元）,1
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-04
处罚有效期,2099-12-31
公示截止期,2026-01-04
处罚机关,大连市生态环境局
