组织名称,大连林家山文化旅游开发有限公司
统一社会信用代码,91210283MA0P5LRL8F
行政处罚决定文书号,庄市监（知处罚【2022】1号
法人代表人,王金光
违法行为类型,违反了《中华人民共和国广告法》第二十八条第二款第二项“广告以虚假或者引人误解的内容欺骗、误导消费者的，构成虚假广告。广告有下列情形之一的，为虚假广告：（二）商品的性能、功能、产地、用途、质量、规格、成分、价格、生产者、有效期限、销售状况、曾获荣誉等信息，或者服务的内容、提供者、形式、质量、价格、销售状况、曾获荣誉等信息，以及与商品或者服务有关的充诺等信息与实际情况不符，对购实行为有实质性影响的。“的规定
违法事实,"大连林家山文化旅游开发有限公司于2022年7月21日开始在微信公众号“香泷度假景区""发布文章《要火了！庄河迎来35000平米超大型水上乐园，7月29日起迎客，门票免费领啦！！，共发布2篇，阅读量共为10万。两篇文章使用的图片均为网络图片，并非实地图片。网络图片与景区实地情况在场地设施、规模等方面有区别。公众号文章内宣传的游玩项目，如水上乐园、飞盘游乐暂未投入便用。截止被查处之日止，大连林家山文化旅游开发有限公司共向广告公司支付110元广告发布费用。"
处罚依据,依据《中华人民共和国行政处罚法》第二十三条“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为”以及《中华人民共和国广告法》第五十五条第一款：“违反本法规定，发布虚假广告的，由市场监管理部门责令停正发布广告，责令广告主在相应范围内消除影响，处广告费用三倍以上五倍以下的罚款，广告费用无法计算或者明显偏低的，处二十方元以上一百万元以下的罚款：两年内有三次以上违法行为或者有其他严重情节的，处广告费用五倍以上十倍以下的罚款，广告费用无法计算或者明显偏低的，处一百万元以上二百万元以下的罚款，可以吊销营业执，并由广告审查机关撒销广告审查批准文件、一年内不受理其广告审查申请。“之规定。
处罚类别,罚款
处罚内容,1.责令改正违法行为；2.罚款440元，上缴国库。
罚款金额（万元）,0.044--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-28
处罚有效期,2027-12-28
公示截止期,2023-12-28
处罚机关,庄河市市场监督管理局
