组织名称,大连绿惠园贸易有限公司
统一社会信用代码,91210203071596913T
行政处罚决定文书号,大税二稽罚【2022】34号
法人代表人,陈辉艳
违法行为类型,发票违法
违法事实,"问题一：你单位2016年从河北厂家采购了一批粉条，用于在商场销售，在2019年12月31日结余粉条共计9412.51Kg，金额为39577.39元。结余的粉条在2019年8月通过以货抵债的方式，销售给了大菜市的个人商户韩跃，双方约定折价，以24000元的价格抵顶所欠货款，在账务上未作任何处理，未结转主营业务成本和收入，造成少缴2019年增值税、城市维护建设税及附加，造成少计2019年应纳税所得额。上述事实，有以下证据证实：（1）大连绿惠园贸易有限公司法人代表陈辉艳的询问笔录，附被询问人陈辉艳居民身份证复制件：（2大连绿惠园贸易有限公司提供的2018-2019年库存商品-粉条明细账记账凭证等复制件；（3）大连绿惠园贸易有限公司提供的2018年部分主营业务收入记账凭证、发票等原始凭据复制件：（4）大连绿惠园贸易有限公司提供的《2019年-2022年增值税纳税申报表》复制件：（5）大连绿惠园贸易有限公司提供的《2019年企业所得税纳税申报表》复制件：（6）大连绿惠园贸易有限公司提供的情况说明。问题二：你单位2019年管理费用明细账上（2019年12月第6号凭证）列支了法人代表亲属的旅游费用50,000元，应属于股息红利所得，在企业所得税申报时全额税前扣除，造成少调增企业所得税应纳税所得额50,000元：你单位未履行个人所得税代扣代缴义务，造成少扣缴个人所得税。上述事实，有以下证据证实:（1）大连绿惠园贸易有限公司法人代表陈辉艳的询问笔录，附被询问人陈辉艳居民身份证复制件：（2）大连绿惠园贸易有限公司代账会计崔凤娇的询问笔录：附被询问人崔凤娇居民身份证复制件：（3）大连绿惠园贸易有限公司提供的2019年管理费用-差旅费明细账记账凭证、发票等原始凭证复制件：（4）大连绿惠园贸易有限公司提供的个人所得税申报明细复制件：(5)大连绿惠园贸易有限公司提供的《2022年企业所得税纳税季度申报表》复制件："
处罚依据,《中华人民共和国税收征收管理法》第六十三条第一款、第六十九条
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.808426
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-23
处罚有效期,2022-12-08
公示截止期,2023-11-23
处罚机关,国家税务总局大连市税务局第二稽查局
