组织名称,大连优立德诊所有限公司
统一社会信用代码,91210248MA10FX5968
行政处罚决定文书号,旅市监处罚【2022】74号
法人代表人,李龙国
违法行为类型,违反了《中华人民共和国广告法》第四十六条：“发布医疗、药品、医疗器农药、兽药和保健食品广告，以及法律、行政法规规定应当进行审查的其他广告，应当在发布前由有关部门（以下称广告审查机关）对广告内容进行审查：未经审查，不得发布。“及《医疗广告管理力法》第七条第六款：“医疗广告的表现形式不得含有以下情形：（六）利用惠者、卫生技术人员、医学教育科研机构及人员以及其他社会社团、组织的名义、形象作证明的：“的规定
违法事实,"经查，当事人在认证主体为大连优立德诊所有限公司的微信公众号：gh_b01f4d3c9631，未经获得医疗广告审查证明，于2022年3月18日发布名为“严重双足畸形矫形成功""的文章中，含有“手术前：女，19岁，双侧足部严重畸形，双足完全翻转，用脚背着地走路，使用双拐艰难行走，手术后：扔掉双拐正常走路""及惠者图片的内容。上述公众号及广告宣传内容由当事人自行制作发布，没有产生广告费用。"
处罚依据,，：（十）一国丫中》之一的，由市场监督管理部门责令停止发布广告，责令广告主在相应范围内消除影响，处广告费用一倍以上三倍以下的罚款，广告费用无法计算或者明显偏低的，处十万元以上二十万元以下的罚款：情节严重的，处广告费用三倍以上五倍以下的罚款，广告费用无法计算或者明显偏低的，处二十万元以上一百万元以下的罚款，可以吊销营业执照，并由广告审查机关撤销广告审查批准文件、一年内不受理其广告审查申请：（十四）违反本法第四十六条规定，未经审查发布广告的。“的规定，依据《医疗广告管理法》第二十二条“工商行政管理机关对违反本力法规定的广告主、广告经营者、广告发布者依据《广告法》、《反不正当竞争法》予以处罚，对情节严重，造成严重后果的，可以并处一至六个月暂停发布医疗广告、直至取消广告经营者、广告发布者的医疗广告经营和发布资格的处罚。法律法规没有规定的，工商行政管理机关应当对负有责任的广告主、广告经营者、广告发布者给予警告或者处以一万元以上三万元以下的罚款：医疗广告内容作出认定。“的规定
处罚类别,"罚款,警告"
处罚内容,1.责令当事人立即停止发布医疗广告，在相应范围内消除影响，待办理医疗广告审查证明后方可进行广告发布；2.给予警告；3.罚款人民币10000元整，上缴国库。
罚款金额（万元）,1
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-03
处罚有效期,2024-01-03
公示截止期,2026-01-03
处罚机关,大连市旅顺口区市场监督管理局
