组织名称,大连本家味道餐饮有限公司
统一社会信用代码,91210204MA0QDG8M68
行政处罚决定文书号,大市监处罚【2022]4-85号
法人代表人,王伟
违法行为类型,违反了《中华人民共和国食品安全法》第五十三条第一、二款的规定。违反了《中华人民共和国食品安全法》第三十二条的规定，违反了《中华人民共和国食品安全法》第四十七条的规定，违反了《中华人民共和国食品安全法》第三十四条的规定
违法事实,经营涉案食品原料及涉案馒头，进货时未按规定查验并留存相关证明材料，便用清洗不彻底的铁锅加工盛装稀粥，经营超过保质期的食品原料
处罚依据,依据《中华人民共和国食品安全法》第一百二十六条第一款第（三）项的规定，依据《中华人民共和国食品安全法》第一白二十六条第一款第（五项的规定，依据《中华人民共和国食品安全法》第一白二十六条第一款第（十一项的规定，依据《中华人民共和国食品安全法》第一白二十四条第一款第（二项的规定，依据《中华人民共和国食品安全法》第一百二十四条第一款第（四项的规
处罚类别,"没收非法财物，罚款,警告"
处罚内容,警告、没收物品、罚款
罚款金额（万元）,5.50.00098
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-27
处罚有效期,2099-12-31
公示截止期,2025-12-27
处罚机关,大连市市场监督管理局
