组织名称,大连程克锋贸易有限公司
统一社会信用代码,91210211MA7BL4A76J
行政处罚决定文书号,大税三稽罚【2023】3号
法人代表人,张海仁
违法行为类型,发票违法
违法事实,"根据国家税务总局大连市税务局第三稽查局发来《已证实虚开通知单》的信息我局对你单位进行立案检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过金税三期税收管理系统进销资料对比分析，发现你单位购进、销售货物名称严重背离的银行账户资料分析，发现你单位资金往来情况异常，存在虚开增值税专用发票情况。你单位于2021年11月9日至2022年7月31日期间对外开具与实际经营业务情况不符的增值税专用发票58份，发票代码2102214130，发票号码03222240-03222241、03222250,02491735-02491749：发票代码021022100113，发票号码00545706-00545715、00545643-00545652、00545077-00545086、00442777-00442786，品名为*黑色金属台炼压延品*螺纹钢、*黑色金属台炼压延品*圆钢、*黑色金属/炼压延品*钢板、黑色金属/炼压延品*不锈钢管、黑色金属/炼压延品*不锈钢板、*黑色金属冶炼压延品*不锈钢棒等，金额合计5,784,329.51元，税额合计751,962.87元。"
处罚依据,"根据《中华人民共和国发票管理力法》第二十二条第二款第（一】项任何单位和个人不得有下列虚开发票行为：（一）为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款""违反本办法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得虚开金额在1万元以下的，可以并处5方元以下的罚款：虚开金额超过1万元的，并处5万元以上50万元以下的罚款；构成犯罪的，依法追究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100万元，或者有其他严重情节的，处50万元罚款""的规定，对你单位上述虚开发票的行为"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50
没收违法所得、没收非法财物的金额（万元）,-
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-10
处罚有效期,2023-01-29
公示截止期,2024-01-10
处罚机关,国家税务总局大连市税务局第三稽查局
