组织名称,大连农垦北大荒商贸经营有限公司
统一社会信用代码,91210200687095885E
行政处罚决定文书号,大税二稽罚[2023】3号
法人代表人,方金玉
违法行为类型,违反税收管理
违法事实,"你单位将从山东泉林嘉有现代农业股份有限公司购实黄腐酸营养液（25kg/箱）大量元素水溶肥、黄腐酸中剂等11种货物销售给大连泉有生态农业有限公司。大连泉有生态农业有限公司支付了245，000元，你单位在主营业务收入中确认了245，000元的收入，并且在2019年12月第25号凭证中结转对应的成本222，750元经核实，大连泉有生态农业有限公司2017年11月提货金额79,299.1元，税额8，722.9元，价税合计88,022元：12月提货金额1,684,839.1元，税额185,332.3元价税合计1,870,171.4元，2017年合计销售金额1，764,138.2元，税额194,055.20元，价税合计1,958,193.4元。2018年1月提货金额216,432.43元，税额23,807.57元，价税合计240，240元。大连泉有生态农业有限公司从你单位购实的货物价税合计为2，198,433.4元，远超你单位账面记载的收入245,000元，你单位存在隐销售收入的行为。你单位所销售货物2017年成本为1,643,649.02元，2018年成本为196，56.56元，你单位未结转相应的成本。"
处罚依据,《中华人民共和国税收征收管理法》第六十二条第一款
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,12.620129-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-12
处罚有效期,2023-01-29
公示截止期,2024-01-12
处罚机关,国家税务总局大连市税务局第二稽查局
