组织名称,大连安广物资有限公司
统一社会信用代码,91210211MA0QDRUB6Y
行政处罚决定文书号,大税三稽罚[2023] 4号
法人代表人,张刚
违法行为类型,发票违法
违法事实,"根据国家税务总局重庆市税务局第五稽查局于2022年4月6日向我局发出《税收违法案件协查函》（渝税五稽协【2022】18号】和《已证实虚开通知单》（协查编号：65007050122040623273】的信息，我局对你单位进行立案检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。经检查，你单位通过填列增值税纳税申报表相关栏次，规避税务机关审核比对，进行虚假申报。通过金税三期税收管理系统进销资料对比分析，发现你单位购进、销售货物名称严重背离。你单位存在虚开增值税专用发票的情况。你单位于2016年4月11日至2017年5月27日期间对外开具与实际经营业务情况不符的增值税专用发票269份，发票代码、发票号码详见附件，品名为钢板、钢管、角钢，金额合计25,092608.27元，税额合计4,265,743.50元。"
处罚依据,博【一二二十二缅国丫中》和个人不得有下列虚开发票行为：（一）为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款“违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得：虚开金额在1万元以下的，可以并处5万元以下的罚款：虚开金额超过1万元的，并处5万元以上50万元以下的罚款：构成犯罪的，依法追究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100方元，或者有其他严重情节的处50万元罚款“的规定，对你单位上述虚开发票的行为，
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-11
处罚有效期,2023-01-30
公示截止期,2024-01-11
处罚机关,国家税务总局大连市税务局第三稽查局
