组织名称,大连鹏龙离业有限公司
统一社会信用代码,91210281MA0UU71Y1X
行政处罚决定文书号,2022040028
法人代表人,张广环
违法行为类型,《中华人民共和国固体废物污梁环境防治法》六十五条第二款：“从事蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染。”
违法事实,2022年10月8日至10月9日，大连市瓦房店（长兴岛经济区）生态环境分局执法人员对位于瓦房店市太阳办事处那屯村高丽城屯的大连鹏龙离业有限公司高丽城养殖小区B区进行厂现场检查。检查发现，养殖小区建有14栋鸡舍，年出栏肉鸡1凯万只，现无存栏。建有1座500立方米的污水池，因污水池破损，导致刷圈粪污水泄露，流到小区西墙外的雨水里
处罚依据,《中华人民共和国固体废物污梁环境防治法》第一百零七条：“从事蓄离规模养殖未及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物的，由生态环境主管部阶责令改正，可以处十方元以下的罚款：情节产严重的，报经有批准权的人民政府批准，责令停业或者关团。”
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整（￥100000）#
罚款金额（万元）,10
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-27
处罚有效期,2099-12-31
公示截止期,2023-12-27
处罚机关,大连市生态环境局
